Chinese,part,English
有苦味的；痛苦的；难过的；严酷的,a.,bitter
黑色,n.,black
黑色的,a.,black
黑板,n.,blackboard
瞎的,n.,blind
阻碍；街区,n.,block
阻止,v.,block
血，血液,n.,blood
女式衬衫；上衣,n.,blouse
吹；刮风；吹气,v.,"blow(blew, blown)"
蓝色,a.,blue
木板；布告牌；委员会；（政府的）部；伙食,n.,board
小船，小舟,n.,boat
身体,n.,body
书；本子,n.,book
预定，定（房间/车票等）,v.,book
烦闷的；厌烦的,a.,bored
乏味的；无聊的,a.,boring
出生,a.,born
（向别人）借用；借,v.,borrow
领班；老板,n.,boss
两；双,a.,both
两者；双方,pron.,both
两者都，既......又.......,,both....and
瓶子,n.,bottle 
底部；底,n.,bottom
碗,n.,bowl
盒子，箱子,n.,box
男孩,n.,boy
脑子,n.,brain
勇敢的,a.,brave
面包；食物，粮食；生计,n.,bread
打破（断、碎）；损坏，撕开,v,"break(broke, broken)"
损坏，（把化合物）分解；（汽车）抛锚,,break down
闯入，强行进入；插嘴，打断,,break in
（战争，火灾等）突然发生，爆发,,break out
早餐,n.,breakfast
气息；呼吸,n.,breath
呼吸,vi.,breathe
桥,n..,bridge
明亮的；聪明的,a.,bright
拿来，带来，取来,vt.,"bring(brought, brought)"
教育，培养,,bring up
英国,n.,Britain
英国人，英国人的，英国的,ad.&a.,British
兄；弟,n.,brother
褐色，棕色,n.,brown
褐色的，棕色的,a.,brown
刷；擦,v.,brush
刷子,n.,brush
建筑；造,v.,"build(built, built)"
逐步建立,,build up
建筑物；房屋；大楼,n.,building
燃，烧；着火；使烧焦；使晒黑,v.,"burn(-ed,ed/burnt,burnt)"
公共汽车,n.,bus
（本分）工作；职业；生意；交易；事业,n.,business
忙（碌）的,a.,busy
但是；可是,conj.,but
除了；除…之外,Prep.,but
黄油；奶油,n.,butter
蝴蝶,n.,butterfly
买,vt.,"buy(bought, bought)"
靠近；在…旁边；在…时间；不迟于；被；用；由；乘（车）,prep.,by
偶然,,by accident
乘飞机（公交车，火车，轮船）,,"by air(bus,train,ship)"
日间，在白天,,by day
顺便说；顺便问一下,,by the way
再见,int.,bye
卷心菜；洋白菜,n.,cabbage
蛋糕；糕点；饼,n.,cake
日历,n.,calendar
喊；叫；电话，通话,n.,call
称呼；呼唤；喊；叫,v.,call
召集，召来,,call in
拜访,,call on
号召，打电话,,call up
骆驼,n.,camel
照相机；摄象机,n.,camera
（夏令）营,n.,camp
能够；可以；会,modal v.,"can (could,-) (can’t/cannot)"
加拿大,n.,Canada
加拿大人，加拿大人的，加拿大的,adj./n.,Canadian
取消,v.,cancel
蜡烛,n.,candle
癌,n.,cancer
糖果,n.,candy
（无檐的或前面有檐的）帽子；（瓶）盖；（钢笔）笔套,n.,cap
首都；省会；大写；资本,n.,capital
（海军）上校；船长；舰长；队长,n.,captain
汽车；小卧车,n.,car
卡片；名片；纸牌,n.,card
照料；保护；小心,n.,care
介意…；在乎；关心,v.,care
喜欢，照顾（病人）,,care for 
小心的;仔细的;谨慎的,a.,careful
粗心的；漫不经心的,a.,careless
胡萝卜,   n.,carrot
拿；搬；带；提；抬；背；抱；运等,vt.,carry
继续下去，继续开展,,carry on 
执行,,carry out  
动画片,   n.,cartoon
猫,n.,cat
接住；捉住；赶上；染上（疾病）,v.,"catch(caught, caught)"
赶上（或超过）,,catch up with 
原因；起因,   n.,cause
促使；引起；使发生,   vt.,cause
天花板；顶棚,   n.,ceiling
庆祝,v.,celebrate
美分(100 cents=1 dollar),n.,cent
中心的，主要的,   a.,central
中心，中央,n.,centre (美center)
世纪，百年,n.,century
确定的，无疑的；一定会……,   a.,certain
当然,  ad.,certainly
椅子,n.,chair
主席；会长；议长,n.,chairman/
,,chairwoman
粉笔,n.,chalk
挑战,   n.,challenge
机会，可能性,n.,chance
零钱；找头．改变，变化；更换；兑换,n. v.,change
转换成，把……变成,,change into 
品质，性格，角色，特性,   n.,character
咏唱；歌颂;,vt.,chant
颂歌；曲子,n.,chant
便宜的，贱,a.,cheap
骗取，哄骗；作弊,v.,cheat
检查；批改;,n.,check
校对，核对；检查；批改,vt.,check
报到，登记,,check in 
查明，结账,,check out 
欢呼；喝彩,n.&vi.,cheer
奶酪,n.,cheese
化学,n.,chemistry
棋,n.,chess
箱子；盒子；胸部,n.,chest
鸡；鸡肉,n.,chicken
孩子，儿童,n.,child (pl.children)
中国,n.,China
中国的；中国人的；中国话的，汉语的;,a.,Chinese
中国人；中国话，汉语，中文,n.,Chinese
巧克力,n.,chocolate
选择；抉择,n.,choice
选择,vt.,choose
,,"(chose, chosen)"
筷子,n.,chopsticks
圣诞节(12月25),n.,Christmas
教堂；教会,n.,church
电影院；电影,n.,cinema
圆圈;,n.,circle
将……圈起来,vt.,circle
市，城市，都市,n.,city
拍手；鼓掌,vi.&n.,clap
(学校里的)班；年级；课,n.,class
同班同学,n.,classmate
教室,n.,classroom
弄干净，擦干净;,vt.,clean
清洁的，干净的,a.,clean
清晰的；明亮的；清楚的,a.,clear
整理，收拾，（天气）放晴,,clear up 
聪明的，伶俐的,a.,clever
爬，攀登,v.,climb
钟,n.,clock
关，关闭,vt.,close
衣服；各种衣物,n.,clothes
云；云状物；阴影,n.,cloud
多云的，阴天的,a.,cloudy
俱乐部,n.,club
教练；马车；长途车,n.,coach
煤；煤块,n.,coal
海岸；海滨,n.,coast
外套；涂层；表皮；皮毛,n.,coat
咖啡,n.,coffee
硬币,n.,coin
冷的，寒的;,a.,cold
寒冷；感冒，伤风,n.,cold
收集，搜集,vt.,collect
学院；专科学校,n.,college
颜色;,n.,colour (美color)
给……着色，涂色,vt.,colour 
来，来到,vi.,"come(came, come)"
（偶然）遇见（或发现）,,come across 
回来；想起来,,come back
落，下来,,come down 
出生（于），来自,,come from
进入，进来,,come in 
快;走吧;跟我来,,come on
出来；（书等）出版，发行,,come out 
共计，达到,,come to 
实现,,come true 
追上；赶上；想出（主意）；找出（答案）,,come up with
上来，上升，抬头,,come up 
舒服的；安逸的；舒服自在的,a.,comfortable
普通的，一般的；共有的,a.,common
交际；传达(感情信息等),v.,communicate
交际；交往；通讯,n.,communication
社区,   n.,community
公司,n.,company
比较；对比,vt.,compare
与……相比,,compare to 
与……相比,,compare with
比赛；竞赛,n.,competition
抱怨；投诉；埋怨；发牢骚,v.,complain
完成；结束a．完成的,vt.,complete
作文；作曲,n.,composition
电子计算机,n.,computer
音乐会；演奏会,n.,concert
条件；状况,n.,condition
（正式的）会议,n.,conference
自信的,   a.,confident
使困惑,   v.,confuse
祝贺,v.,congratulate
